time_surface,timedep/qt_sbot
0.0,3.2458890428875076E-5
3600.0,5.418368678440597E-5
7200.0,7.708726389694976E-5
10800.0,1.0024434808456841E-4
14400.0,1.2318700979969336E-4
18000.0,1.3862542781924078E-4
21600.0,1.4648686135507365E-4
25200.0,1.4670481229863368E-4
28800.0,1.3781089384461593E-4
32400.0,1.2007001274384798E-4
36000.0,9.404536726269E-5
39600.0,5.9325211969783724E-5
43200.0,2.853088786947124E-5
